ListSize,countSort_Ops,countSort_Time,heapSort_Ops,heapSort_Time,mapSort_Ops,mapSort_Time
59481,237900,0.000264,2169815,0.010516,12134125,0.012375
28416,113658,0.000184,961211,0.004568,5796865,0.005618
26565,106251,0.000156,892313,0.004519,5419261,0.004999
66377,265466,0.000254,2448559,0.011752,13540909,0.012429
50536,202123,0.000203,1815848,0.008737,10309345,0.010281
86995,347932,0.000283,3293091,0.015460,17746981,0.016402
94541,378131,0.000321,3608376,0.017894,19286365,0.018573
41111,164420,0.000192,1445034,0.006129,8386645,0.006931
75431,301682,0.000247,2817144,0.013815,15387925,0.014725
19901,79598,0.000128,647500,0.002955,4059805,0.003666
44740,178945,0.000206,1586392,0.007819,9126961,0.008320
90754,362980,0.000341,3450270,0.016183,18513817,0.017390
24719,98870,0.000142,824739,0.004114,5042677,0.004229
55901,223592,0.000226,2026427,0.009559,11403805,0.011134
15844,63376,0.000124,502705,0.002439,3232177,0.003035
80500,321973,0.000236,3024756,0.014006,16422001,0.014601
8986,35944,0.000110,266442,0.001379,1833145,0.001534
4381,17524,0.000053,118735,0.000612,893725,0.000747
77760,311010,0.000287,2912137,0.013962,15863041,0.015576
28417,113662,0.000178,960603,0.004344,5797069,0.004719
95922,383658,0.000296,3666781,0.017456,19568089,0.018224
92589,370317,0.000297,3526668,0.017071,18888157,0.018183
89978,359894,0.000282,3418198,0.016473,18355513,0.017397
90035,360107,0.000258,3419488,0.016400,18367141,0.016605
52480,209911,0.000202,1890778,0.009192,10705921,0.008952
64901,259592,0.000236,2388818,0.011190,13239805,0.012056
74312,297218,0.000242,2771698,0.013144,15159649,0.013640
68758,275005,0.000222,2544971,0.012505,14026633,0.012302
69774,279084,0.000266,2585620,0.012864,14233897,0.012818
46912,187627,0.000200,1672220,0.008190,9570049,0.008116
36942,147750,0.000183,1284393,0.006369,7536169,0.007015
73983,295911,0.000249,2758000,0.013145,15092533,0.012779
2306,9224,0.000031,57130,0.000312,470425,0.000409
49619,198464,0.000228,1778504,0.008226,10122277,0.009392
11377,45499,0.000107,347817,0.001811,2320909,0.001968
56530,226108,0.000271,2052808,0.010301,11532121,0.010059
23715,94851,0.000139,787291,0.003959,4837861,0.004084
62609,250406,0.000220,2296503,0.011026,12772237,0.010589
33249,132981,0.000192,1143440,0.005370,6782797,0.006202
47018,188048,0.000217,1676654,0.009366,9591673,0.009589
88247,352961,0.000331,3344639,0.018917,18002389,0.019167
56776,227083,0.000217,2062583,0.010694,11582305,0.010794
61478,245903,0.000252,2250289,0.012229,12541513,0.012717
60896,243563,0.000249,2226647,0.012181,12422785,0.011015
22243,88957,0.000141,732667,0.003823,4537573,0.004002
30731,122921,0.000216,1048376,0.005373,6269125,0.005398
8628,34512,0.000089,254649,0.001374,1760113,0.001502
67496,269966,0.000305,2493824,0.013899,13769185,0.013583
89261,356999,0.000319,3387862,0.016647,18209245,0.016745
23496,93972,0.000158,778001,0.004059,4793185,0.004096
84931,339700,0.000274,3207861,0.016723,17325925,0.016664
9215,36860,0.000133,274042,0.001675,1879861,0.001835
1919,7676,0.000030,46094,0.000247,391477,0.000499
16263,65052,0.000136,517718,0.002591,3317653,0.003320
86977,347878,0.000290,3293713,0.016113,17743309,0.016711
12402,49596,0.000118,382626,0.001993,2530009,0.002152
59306,237203,0.000213,2164132,0.010944,12098425,0.011311
24100,96397,0.000154,801143,0.003619,4916401,0.004498
87549,350166,0.000285,3316227,0.015533,17859997,0.016788
91235,364919,0.000364,3469859,0.019681,18611941,0.019567
55426,221674,0.000245,2008939,0.010440,11306905,0.011023
27047,108173,0.000163,909957,0.004663,5517589,0.005234
11089,44353,0.000104,337401,0.001760,2262157,0.002032
68823,275274,0.000235,2546543,0.011139,14039893,0.012518
71448,285765,0.000243,2652736,0.012230,14575393,0.012556
66931,267700,0.000238,2470404,0.012590,13653925,0.012684
98578,394291,0.000330,3779553,0.018951,20109913,0.019438
77841,311322,0.000278,2915432,0.014063,15879565,0.015115
89277,357090,0.000289,3386922,0.017045,18212509,0.017469
78544,314158,0.000338,2944696,0.015161,16022977,0.014650
87589,350335,0.000268,3317626,0.016345,17868157,0.017745
34619,138473,0.000223,1195572,0.005684,7062277,0.007107
16262,65048,0.000126,517717,0.002693,3317449,0.002956
29918,119660,0.000169,1016918,0.005232,6103273,0.005129
22700,90794,0.000151,749743,0.003618,4630801,0.003952
19318,77257,0.000132,626838,0.002961,3940873,0.003659
28527,114102,0.000162,965883,0.004786,5819509,0.004848
72631,290491,0.000256,2702232,0.013156,14816725,0.013083
85688,342725,0.000277,3238637,0.015169,17480353,0.015940
96028,384067,0.000302,3671337,0.018689,19589713,0.018075
81129,324495,0.000270,3051154,0.014803,16550317,0.014929
52801,211192,0.000212,1904683,0.009121,10771405,0.010068
74222,296867,0.000267,2767035,0.013353,15141289,0.013092
80069,320246,0.000281,3007572,0.015453,16334077,0.015053
94460,377819,0.000304,3604811,0.017842,19269841,0.018868
74381,297482,0.000263,2774239,0.015736,15173725,0.015269
11896,47575,0.000125,365206,0.002016,2426785,0.002336
3342,13365,0.000041,87428,0.000438,681769,0.000653
92913,371628,0.000322,3540499,0.018536,18954253,0.019270
91192,364744,0.000285,3468394,0.016829,18603169,0.018223
41337,165342,0.000198,1454571,0.007243,8432749,0.007863
1440,5760,0.000032,33204,0.000177,293761,0.000267
17029,68116,0.000124,544517,0.002824,3473917,0.003124
70331,281309,0.000261,2608157,0.012429,14347525,0.012245
82724,330866,0.000259,3117291,0.015348,16875697,0.016704
93261,373014,0.000291,3554693,0.017149,19025245,0.019493
91763,367028,0.000290,3491972,0.017526,18719653,0.017939
21024,84093,0.000139,688745,0.003591,4288897,0.003648
30052,120205,0.000171,1022371,0.005241,6130609,0.006021
35025,140082,0.000186,1210245,0.006010,7145101,0.005909
86483,345893,0.000286,3272019,0.015422,17642533,0.017564
24470,97877,0.000156,814860,0.004426,4991881,0.004394
50156,200603,0.000221,1800427,0.009300,10231825,0.009318
38413,153643,0.000199,1340478,0.006804,7836253,0.006922
30988,123940,0.000166,1058186,0.005385,6321553,0.005742
45183,180717,0.000202,1604007,0.008483,9217333,0.008303
6753,27006,0.000078,193652,0.001117,1377613,0.001248
73566,294252,0.000262,2740076,0.014186,15007465,0.015458
53350,213379,0.000247,1925612,0.010945,10883401,0.010597
25875,103500,0.000155,866707,0.004549,5278501,0.004909
1607,6428,0.000028,37749,0.000196,327829,0.000299
65936,263726,0.000280,2430857,0.012518,13450945,0.011920
82678,330691,0.000297,3115447,0.015494,16866313,0.015213
75524,302069,0.000256,2820883,0.014559,15406897,0.013548
99622,398467,0.000367,3821494,0.018500,20322889,0.019491
97788,391125,0.000300,3746713,0.018700,19948753,0.019226
5503,22009,0.000063,153550,0.000700,1122613,0.000969
30174,120693,0.000171,1026415,0.005214,6155497,0.006176
29160,116634,0.000210,988857,0.005907,5948641,0.006599
16108,64429,0.000133,512275,0.003007,3286033,0.003159
37913,151634,0.000200,1321170,0.007116,7734253,0.007133
42757,171016,0.000183,1509206,0.007122,8722429,0.007611
61231,244903,0.000223,2240934,0.011648,12491125,0.011477
47758,191017,0.000228,1705335,0.008465,9742633,0.009040
81917,327641,0.000265,3083396,0.015669,16711069,0.014929
40385,161528,0.000203,1416980,0.006912,8238541,0.007140
12888,51543,0.000115,399456,0.001985,2629153,0.002470
54880,219517,0.000215,1986155,0.010402,11195521,0.010423
53368,213457,0.000241,1926406,0.010232,10887073,0.010189
10460,41837,0.000108,316082,0.001716,2133841,0.002004
93674,374654,0.000360,3572024,0.018192,19109497,0.018475
39525,158082,0.000245,1383524,0.008506,8063101,0.008990
5318,21269,0.000071,147835,0.000743,1084873,0.001063
28381,113518,0.000175,959703,0.004667,5789725,0.005542
71144,284540,0.000293,2641925,0.013430,14513377,0.012942
62960,251804,0.000248,2309176,0.011132,12843841,0.012208
68857,275404,0.000263,2548191,0.012767,14046829,0.013039
98609,394397,0.000325,3779917,0.019562,20116237,0.019819
58555,234187,0.000219,2132377,0.011111,11945221,0.010522
9867,39468,0.000094,296014,0.001499,2012869,0.001813
95552,382172,0.000382,3649850,0.017314,19492609,0.019754
70863,283434,0.000254,2630124,0.012911,14456053,0.013219
41278,165103,0.000197,1451955,0.007792,8420713,0.008118
29704,118804,0.000167,1009475,0.004853,6059617,0.005950
18427,73702,0.000131,594323,0.002968,3759109,0.003163
15000,59994,0.000143,472502,0.002655,3060001,0.002738
72457,289798,0.000267,2695530,0.013705,14781229,0.014976
65921,263672,0.000257,2430085,0.012768,13447885,0.012498
69686,278720,0.000307,2581928,0.013859,14215945,0.012980
55588,222331,0.000242,2015001,0.010213,11339953,0.009592
18069,72261,0.000128,581088,0.002954,3686077,0.003152
13149,52590,0.000116,408058,0.001799,2682397,0.002532
55721,222869,0.000252,2018968,0.009864,11367085,0.010736
62726,250889,0.000229,2300607,0.011446,12796105,0.011183
89312,357227,0.000302,3388858,0.015804,18219649,0.016541
42386,169514,0.000199,1494307,0.007164,8646745,0.008118
88547,354140,0.000337,3357729,0.015550,18063589,0.018194
76134,304503,0.000294,2845439,0.013518,15531337,0.013729
3575,14300,0.000046,94211,0.000403,729301,0.000678
15652,62605,0.000113,495688,0.002457,3193009,0.002632
39217,156859,0.000191,1372048,0.006745,8000269,0.006942
18323,73289,0.000130,590824,0.003156,3737893,0.003497
5673,22689,0.000067,159249,0.000711,1157293,0.000969
48363,193431,0.000261,1729605,0.008990,9866053,0.008976
97906,391588,0.000353,3750962,0.017517,19972825,0.018940
55590,222345,0.000253,2015631,0.010908,11340361,0.011611
98642,394544,0.000298,3782480,0.018130,20122969,0.018743
25882,103516,0.000156,866464,0.004045,5279929,0.004961
11602,46408,0.000101,354945,0.001741,2366809,0.001925
23496,93978,0.000147,778795,0.003700,4793185,0.004467
66189,264738,0.000225,2440825,0.012138,13502557,0.011621
94334,377324,0.000294,3599880,0.016517,19244137,0.018280
51078,204297,0.000200,1836358,0.009293,10419913,0.008746
38173,152683,0.000199,1331273,0.006757,7787293,0.006433
29345,117377,0.000167,996575,0.004528,5986381,0.005479
56430,225702,0.000226,2047937,0.010762,11511721,0.010322
18695,74777,0.000130,603823,0.003133,3813781,0.003262
37886,151535,0.000276,1320322,0.006565,7728745,0.007422
93286,373123,0.000343,3555667,0.017997,19030345,0.018051
14171,56684,0.000120,443914,0.002397,2890885,0.002571
28781,115115,0.000166,974818,0.004829,5871325,0.004882
25287,101145,0.000147,844771,0.004122,5158549,0.004252
45373,181480,0.000214,1611327,0.007848,9256093,0.007827
90744,362934,0.000353,3449192,0.017910,18511777,0.018179
29086,116338,0.000176,986787,0.005337,5933545,0.005171
93337,373294,0.000377,3557792,0.018520,19040749,0.018441
67658,270605,0.000254,2499817,0.012448,13802233,0.012219
22156,88618,0.000136,729770,0.003350,4519825,0.003663
48566,194240,0.000239,1737704,0.008930,9907465,0.009155
81293,325145,0.000329,3058572,0.013937,16583773,0.014592
53474,213866,0.000210,1930951,0.008870,10908697,0.009608
53354,213395,0.000232,1925679,0.009496,10884217,0.010437
98922,395643,0.000308,3792576,0.018101,20180089,0.019018
58152,232590,0.000237,2116251,0.010437,11863009,0.010852
67640,270542,0.000225,2499514,0.011825,13798561,0.012165
86962,347833,0.000286,3291785,0.016428,17740249,0.016768
59038,236134,0.000239,2152091,0.010643,12043753,0.010959
51825,207285,0.000213,1866294,0.008944,10572301,0.009879
74786,299126,0.000263,2789583,0.013935,15256345,0.014143
50361,201429,0.000208,1808587,0.008749,10273645,0.009055
18907,75628,0.000138,611818,0.002942,3857029,0.003233
43603,174400,0.000196,1542223,0.008026,8895013,0.008230
51833,207320,0.000251,1865902,0.009983,10573933,0.009427
33180,132714,0.000186,1140841,0.005837,6768721,0.005896
85395,341550,0.000281,3227984,0.015794,17420581,0.015965
12115,48454,0.000111,372686,0.001872,2471461,0.002118
94343,377333,0.000362,3599737,0.018180,19245973,0.018229
99781,399085,0.000370,3827592,0.018482,20355325,0.018728
63279,253104,0.000249,2322735,0.010872,12908917,0.011399
35278,141103,0.000191,1219886,0.006168,7196713,0.005967
70178,280679,0.000320,2601258,0.013825,14316313,0.013092
68628,274482,0.000240,2539454,0.011766,14000113,0.012899
47402,189596,0.000222,1691335,0.008326,9670009,0.008392
54505,218002,0.000223,1971057,0.009643,11119021,0.009534
96778,387082,0.000298,3702882,0.017908,19742713,0.018182
16868,67469,0.000127,539032,0.002907,3441073,0.002932
22167,88653,0.000152,730656,0.003750,4522069,0.004053
76040,304148,0.000268,2840961,0.014128,15512161,0.015259
17775,71097,0.000134,571356,0.002796,3626101,0.003483
24008,96023,0.000170,798251,0.004157,4897633,0.004624
74731,298918,0.000247,2788090,0.013105,15245125,0.014631
64141,256549,0.000224,2357884,0.011790,13084765,0.011556
90182,360695,0.000279,3427245,0.017146,18397129,0.018575
31787,127127,0.000205,1088437,0.005348,6484549,0.005625
16895,67577,0.000125,539648,0.002722,3446581,0.002910
35487,141942,0.000193,1227825,0.006255,7239349,0.006016
49718,198848,0.000207,1782403,0.008929,10142473,0.009296
93291,373146,0.000300,3556004,0.018129,19031365,0.018595
50842,203356,0.000206,1826786,0.008702,10371769,0.009973
53517,214059,0.000208,1932033,0.009471,10917469,0.010668
6377,25502,0.000073,181423,0.000803,1300909,0.001125
11174,44690,0.000105,340298,0.001680,2279497,0.002184
95092,380335,0.000304,3631357,0.018174,19398769,0.018981
52091,208325,0.000232,1876451,0.009499,10626565,0.009935
69357,277416,0.000243,2569196,0.012409,14148829,0.013531
2686,10744,0.000033,68101,0.000332,547945,0.000450
62354,249401,0.000224,2285499,0.011204,12720217,0.010870
6275,25100,0.000075,177962,0.000951,1280101,0.001236
88693,354730,0.000297,3364607,0.016228,18093373,0.017921
86445,345735,0.000276,3270815,0.016452,17634781,0.016206
81293,325145,0.000293,3057686,0.015990,16583773,0.015832
18547,74179,0.000130,598583,0.003095,3783589,0.003427
48691,194752,0.000211,1742467,0.007998,9932965,0.010075
23520,94071,0.000146,779835,0.003913,4798081,0.004285
50080,200302,0.000205,1797171,0.008676,10216321,0.009452
24523,98089,0.000152,817298,0.004205,5002693,0.004181
64422,257670,0.000222,2369165,0.011574,13142089,0.012272
95577,382266,0.000308,3651208,0.018964,19497709,0.018548
75605,302405,0.000257,2823511,0.012699,15423421,0.013957
65595,262350,0.000237,2417056,0.011782,13381381,0.011357
78727,314893,0.000305,2952419,0.015765,16060309,0.015374
58826,235283,0.000219,2144332,0.010379,12000505,0.013060
24663,98640,0.000152,822423,0.003928,5031253,0.004218
35949,143781,0.000174,1246090,0.006030,7333597,0.005989
37519,150067,0.000186,1306441,0.006265,7653877,0.007201
5374,21496,0.000064,149566,0.000761,1096297,0.001077
86329,345289,0.000275,3265328,0.017145,17611117,0.016712
7263,29052,0.000111,210107,0.001230,1481653,0.001257
97109,388403,0.000332,3716260,0.018705,19810237,0.018177
90092,360344,0.000292,3422991,0.017077,18378769,0.017490
20181,80718,0.000137,657631,0.003202,4116925,0.003840
57491,229937,0.000240,2090599,0.010152,11728165,0.011526
54601,218383,0.000236,1975253,0.009802,11138605,0.009669
87834,351300,0.000268,3329169,0.016169,17918137,0.016778
51795,207165,0.000242,1863687,0.009695,10566181,0.009169
35848,143386,0.000186,1242691,0.006176,7312993,0.006910
17013,68052,0.000131,544218,0.002981,3470653,0.003145
84888,339537,0.000289,3205349,0.016102,17317153,0.016704
80480,321890,0.000278,3023134,0.015723,16417921,0.014962
3540,14157,0.000043,93321,0.000489,722161,0.000601
43922,175676,0.000208,1554155,0.008173,8960089,0.008558
28423,113680,0.000184,962131,0.005007,5798293,0.005472
47196,188772,0.000268,1682172,0.009010,9627985,0.009279
96299,385169,0.000287,3682288,0.017956,19644997,0.019423
74262,297024,0.000314,2768144,0.014086,15149449,0.014088
38401,153589,0.000201,1340057,0.006835,7833805,0.007479
51943,207748,0.000204,1870025,0.009290,10596373,0.009869
38868,155454,0.000184,1359192,0.007164,7929073,0.007579
76208,304823,0.000266,2848598,0.014241,15546433,0.014436
45993,183957,0.000219,1635469,0.008188,9382573,0.008700
12047,48188,0.000107,370341,0.001672,2457589,0.002374
97665,390615,0.000286,3739550,0.017900,19923661,0.019179
21674,86684,0.000134,711660,0.003449,4421497,0.003608
33584,134321,0.000171,1156021,0.005714,6851137,0.006511
41943,167763,0.000185,1477911,0.006894,8556373,0.006901
26025,104094,0.000157,871769,0.003831,5309101,0.004954
47956,191800,0.000198,1712367,0.008319,9783025,0.007938
32237,128936,0.000171,1104961,0.005411,6576349,0.006119
54948,219765,0.000227,1989093,0.009962,11209393,0.010231
99941,399725,0.000345,3835156,0.017658,20387965,0.019799
9781,39124,0.000094,293324,0.001270,1995325,0.001834
8078,32309,0.000080,236921,0.001139,1647913,0.001532
19549,78196,0.000129,634735,0.002965,3987997,0.003602
33627,134484,0.000167,1158120,0.005326,6859909,0.006220
25601,102398,0.000149,856252,0.004034,5222605,0.004559
97407,389610,0.000299,3730043,0.017396,19871029,0.019353
43937,175724,0.000206,1555636,0.007515,8963149,0.008291
59577,238296,0.000226,2173902,0.010439,12153709,0.010217
71710,286807,0.000290,2664621,0.012914,14628841,0.012095
50671,202663,0.000187,1820653,0.008960,10336885,0.009815
86340,345336,0.000291,3266768,0.015479,17613361,0.016666
21297,85182,0.000175,698488,0.003672,4344589,0.003599
92052,368175,0.000275,3504015,0.016349,18778609,0.017914
99506,397976,0.000352,3816781,0.018118,20299225,0.019596
49159,196615,0.000210,1761382,0.008246,10028437,0.009172
50330,201293,0.000212,1807192,0.008766,10267321,0.009920
31938,127743,0.000172,1093505,0.005188,6515353,0.005295
91171,364660,0.000286,3466912,0.016699,18598885,0.017784
82553,330173,0.000272,3110224,0.014598,16840813,0.015359
28468,113869,0.000197,962817,0.004630,5807473,0.005270
95069,380246,0.000318,3630015,0.016868,19394077,0.016985
36869,147458,0.000187,1281734,0.005935,7521277,0.006875
37307,149216,0.000233,1297273,0.006267,7610629,0.006369
96448,385768,0.000340,3689364,0.017550,19675393,0.018201
64837,259327,0.000262,2386140,0.011023,13226749,0.011849
95782,383089,0.000304,3660649,0.017394,19539529,0.018678
64686,258714,0.000233,2379835,0.011616,13195945,0.011890
48445,193765,0.000201,1732830,0.008236,9882781,0.008713
19574,78290,0.000132,635679,0.003018,3993097,0.003596
33412,133633,0.000166,1149579,0.005052,6816049,0.006118
61837,247324,0.000202,2264753,0.010940,12614749,0.011386
31893,127563,0.000177,1091919,0.005490,6506173,0.005838
63496,253957,0.000203,2332006,0.011298,12953185,0.011289
76110,304428,0.000241,2843374,0.013589,15526441,0.012829
46829,187307,0.000215,1668911,0.007877,9553117,0.009191
9370,37480,0.000092,279710,0.001567,1911481,0.001574
87699,350757,0.000304,3322244,0.015820,17890597,0.017516
86567,346253,0.000346,3276199,0.015814,17659669,0.015573
22863,91449,0.000149,756269,0.003706,4664053,0.004255
42158,168626,0.000200,1485097,0.007025,8600233,0.007799
72217,288847,0.000237,2684280,0.012702,14732269,0.013482
